plant_name,lat,lon,capacity_mw,status,retirement_year,state,plant_code,nearest_grid_idx,grid_distance_km,depth_bin,depth_300_km,depth_score,status_score
Crawfordsville Power Plant,40.048889,-86.8992,24.1,Retired,2023.0,IN,1024.0,264194,1.4635323696983353,>10 km,,10,1
Marshall (MO),39.1228,-93.2064,22.5,Retired,2016.0,MO,2144.0,234966,1.721881175401209,>10 km,,10,1
TalenEnergy Montour,41.0714,-76.6672,17.2,Retired,2019.0,PA,3149.0,298998,1.979440060466983,>10 km,,10,1
American Crystal Sugar Hillsboro,47.437562,-97.06311,13.3,Operating,,ND,54210.0,497749,1.7406788710952572,>10 km,,10,2
Milwaukee County,43.046,-88.0281,11.0,Retired,2016.0,WI,7549.0,364757,1.7870844741169092,>10 km,,10,1
Rhinelander Mill,45.6394,-89.4205,9.3,Operating,,WI,50933.0,447241,1.5931989590074747,>10 km,,10,2
Southern Minnesota Beet Sugar,44.796405,-95.179787,7.5,Operating,,MN,54533.0,421498,2.0533550733245094,>10 km,,10,2
American Crystal Sugar East Grand Forks,47.927202,-97.007153,7.5,Operating,,MN,54214.0,509892,1.7018779547701006,>10 km,,10,2
American Crystal Sugar Crookston,47.76468,-96.633375,6.5,Operating,,MN,54212.0,506092,0.9263062285218121,>10 km,,10,2
Neenah Paper Munising Mill,46.4094,-86.6443,6.2,Operating,,MI,54867.0,470580,1.6336084330640182,>10 km,,10,2
American Crystal Sugar Drayton,48.593158,-97.17608,6.0,Operating,,ND,54213.0,526487,1.092585219997046,>10 km,,10,2
West Campus Steam Plant,40.792778,-77.864722,6.0,Retired,2015.0,PA,58194.0,288122,1.937831820313471,>10 km,,10,1
SABIC Innovative Plastics Mt. Vernon,37.910278,-87.926111,5.5,Retired,2017.0,IN,58063.0,198565,1.6349015478228408,>10 km,,10,1
American Crystal Sugar Moorhead,46.9026,-96.76112,5.0,Operating,,MN,54211.0,484556,1.5221087029088478,>10 km,,10,2
Juniata Locomotive Shop,40.533299,-78.384125,4.0,Retired,2015.0,PA,10302.0,280567,0.9062427792880458,>10 km,,10,1
Trinidad (CO),37.178979,-104.487492,3.7,Retired,2017.0,CO,511.0,176441,1.92264062681491,8-10 km,10.0,6,1
SIUC,37.711944,-89.215,3.5,Operating,,IL,57928.0,191999,0.8988155689920139,>10 km,,10,2
MSC Sebewaing,43.741111,-83.447222,2.5,Operating,,MI,57949.0,386558,1.8040142395880003,>10 km,,10,2
Morton Salt Rittman,40.9692,-81.7756,1.5,Retired,2015.0,OH,54335.0,294984,1.85295877405223,>10 km,,10,1
Western Sugar Cooperative - Billings,45.765346,-108.499232,1.5,Operating,,MT,62319.0,450717,1.4140254928998897,>10 km,,10,2
